facility_id,facility_name,city_town,state,zip_code,county_parish,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_birthing_friendly_designation,hospital_overall_rating,hospital_overall_rating_footnote,safety_group_measure_count,safety_group_footnote,readm_group_measure_count,count_of_facility_readm_measures,count_of_readm_measures_better,count_of_readm_measures_no_different,count_of_readm_measures_worse,readm_group_footnote,te_group_measure_count,count_of_facility_te_measures,te_group_footnote,hospital_type_clean,hospital_ownership_clean,birthing_friendly,hospital_overall_rating_clean
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,36301,HOUSTON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,NA,8,NA,11,11,1,8,2,NA,12,10,NA,Acute Care,Government,Unknown,3
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,MARSHALL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,NA,2,NA,8,NA,11,9,0,8,1,NA,12,12,NA,Acute Care,Government,Unknown,2
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,LAUDERDALE,Acute Care Hospitals,Proprietary,Yes,Y,1,NA,8,NA,11,9,0,7,2,NA,12,11,NA,Acute Care,For-Profit,Unknown,1
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,NA,1,NA,8,NA,11,7,0,7,0,NA,12,7,NA,Acute Care,Non-Profit,Unknown,1
010008,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,CRENSHAW,Acute Care Hospitals,Proprietary,Yes,NA,Not Available,16,8,5,11,2,0,2,0,NA,12,6,NA,Acute Care,For-Profit,Unknown,NA
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,NA,3,NA,8,NA,11,9,0,8,1,NA,12,8,NA,Acute Care,Non-Profit,Unknown,3
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,DE KALB,Acute Care Hospitals,Proprietary,Yes,Y,2,NA,8,NA,11,6,0,6,0,NA,12,9,NA,Acute Care,For-Profit,Unknown,2
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,SHELBY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,NA,8,NA,11,9,0,8,1,NA,12,6,NA,Acute Care,Non-Profit,Unknown,3
010018,CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,NA,Not Available,16,8,NA,11,2,0,2,0,NA,12,4,NA,Acute Care,Non-Profit,Unknown,NA
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,35660,COLBERT,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,NA,8,NA,11,7,0,7,0,NA,12,10,NA,Acute Care,Government,Unknown,2
