facility_id,facility_name,state,region,condition,hospital_star_rating,ownership_type,risk_score,risk_category,penalty_probability,actual_penalty,excess_readmission_ratio,number_of_discharges
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,South,Heart Attack,3,Government,47.5,Medium Risk,0.4751607323719148,0,0.9483,296
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,South,Heart Surgery,3,Government,47.5,Medium Risk,0.4751607323719148,0,0.9509,151
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,South,Heart Failure,3,Government,47.5,Medium Risk,0.4751607323719148,1,1.0597,681
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,South,Hip/Knee Surgery,3,Government,47.5,Medium Risk,0.4751607323719148,0,0.9654,NA
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,South,Pneumonia,3,Government,47.5,Medium Risk,0.4751607323719148,0,0.9715,490
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,South,COPD,3,Government,47.5,Medium Risk,0.4751607323719148,0,0.933,130
010005,MARSHALL MEDICAL CENTERS,AL,South,Hip/Knee Surgery,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.8497,NA
010005,MARSHALL MEDICAL CENTERS,AL,South,Heart Failure,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.9935,176
010005,MARSHALL MEDICAL CENTERS,AL,South,Pneumonia,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.8495,305
010005,MARSHALL MEDICAL CENTERS,AL,South,COPD,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.8696,144
010006,NORTH ALABAMA MEDICAL CENTER,AL,South,COPD,1,For-Profit,72.5,High Risk,0.724651678289703,0,0.9463,154
010006,NORTH ALABAMA MEDICAL CENTER,AL,South,Heart Failure,1,For-Profit,72.5,High Risk,0.724651678289703,0,0.9666,508
010006,NORTH ALABAMA MEDICAL CENTER,AL,South,Heart Attack,1,For-Profit,72.5,High Risk,0.724651678289703,0,0.9704,315
010006,NORTH ALABAMA MEDICAL CENTER,AL,South,Heart Surgery,1,For-Profit,72.5,High Risk,0.724651678289703,1,1.0846,91
010006,NORTH ALABAMA MEDICAL CENTER,AL,South,Pneumonia,1,For-Profit,72.5,High Risk,0.724651678289703,1,1.0112,621
010006,NORTH ALABAMA MEDICAL CENTER,AL,South,Hip/Knee Surgery,1,For-Profit,72.5,High Risk,0.724651678289703,0,0.9762,NA
010007,MIZELL MEMORIAL HOSPITAL,AL,South,COPD,1,Non-Profit,66.8,Medium-High Risk,0.6677759588440683,1,1.0277,NA
010007,MIZELL MEMORIAL HOSPITAL,AL,South,Heart Failure,1,Non-Profit,66.8,Medium-High Risk,0.6677759588440683,1,1.0674,35
010007,MIZELL MEMORIAL HOSPITAL,AL,South,Hip/Knee Surgery,1,Non-Profit,66.8,Medium-High Risk,0.6677759588440683,0,0.9695,NA
010007,MIZELL MEMORIAL HOSPITAL,AL,South,Pneumonia,1,Non-Profit,66.8,Medium-High Risk,0.6677759588440683,1,1.0488,85
010011,ST. VINCENT'S EAST,AL,South,COPD,3,Non-Profit,49.7,Medium Risk,0.4973505595435331,1,1.012,58
010011,ST. VINCENT'S EAST,AL,South,Heart Attack,3,Non-Profit,49.7,Medium Risk,0.4973505595435331,0,0.9675,148
010011,ST. VINCENT'S EAST,AL,South,Hip/Knee Surgery,3,Non-Profit,49.7,Medium Risk,0.4973505595435331,0,0.9541,NA
010011,ST. VINCENT'S EAST,AL,South,Pneumonia,3,Non-Profit,49.7,Medium Risk,0.4973505595435331,1,1.0589,344
010011,ST. VINCENT'S EAST,AL,South,Heart Failure,3,Non-Profit,49.7,Medium Risk,0.4973505595435331,1,1.0439,295
010011,ST. VINCENT'S EAST,AL,South,Heart Surgery,3,Non-Profit,49.7,Medium Risk,0.4973505595435331,1,1.1146,70
010012,DEKALB REGIONAL MEDICAL CENTER,AL,South,Hip/Knee Surgery,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,0,0.9055,NA
010012,DEKALB REGIONAL MEDICAL CENTER,AL,South,Heart Failure,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,1,1.0505,84
010012,DEKALB REGIONAL MEDICAL CENTER,AL,South,Pneumonia,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,0,0.9685,160
010012,DEKALB REGIONAL MEDICAL CENTER,AL,South,COPD,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,1,1.0044,NA
010012,DEKALB REGIONAL MEDICAL CENTER,AL,South,Heart Attack,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,1,1.0125,NA
010016,SHELBY BAPTIST MEDICAL CENTER,AL,South,Pneumonia,3,Non-Profit,49.7,Medium Risk,0.4973505595435331,1,1.0434,214
010016,SHELBY BAPTIST MEDICAL CENTER,AL,South,Heart Surgery,3,Non-Profit,49.7,Medium Risk,0.4973505595435331,1,1.0792,NA
010016,SHELBY BAPTIST MEDICAL CENTER,AL,South,COPD,3,Non-Profit,49.7,Medium Risk,0.4973505595435331,0,0.9794,NA
010016,SHELBY BAPTIST MEDICAL CENTER,AL,South,Hip/Knee Surgery,3,Non-Profit,49.7,Medium Risk,0.4973505595435331,1,1.1477,NA
010016,SHELBY BAPTIST MEDICAL CENTER,AL,South,Heart Failure,3,Non-Profit,49.7,Medium Risk,0.4973505595435331,1,1.0005,229
010016,SHELBY BAPTIST MEDICAL CENTER,AL,South,Heart Attack,3,Non-Profit,49.7,Medium Risk,0.4973505595435331,1,1.0186,77
010019,HELEN KELLER HOSPITAL,AL,South,Hip/Knee Surgery,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.9039,NA
010019,HELEN KELLER HOSPITAL,AL,South,Heart Failure,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.9294,254
010019,HELEN KELLER HOSPITAL,AL,South,COPD,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.0188,162
010019,HELEN KELLER HOSPITAL,AL,South,Pneumonia,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.0441,236
010021,DALE MEDICAL CENTER,AL,South,COPD,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.9912,NA
010021,DALE MEDICAL CENTER,AL,South,Pneumonia,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.058,65
010021,DALE MEDICAL CENTER,AL,South,Heart Failure,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.0522,34
010023,BAPTIST MEDICAL CENTER SOUTH,AL,South,Heart Failure,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.038,305
010023,BAPTIST MEDICAL CENTER SOUTH,AL,South,Heart Surgery,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.1302,NA
010023,BAPTIST MEDICAL CENTER SOUTH,AL,South,Pneumonia,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.0023,146
010023,BAPTIST MEDICAL CENTER SOUTH,AL,South,COPD,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.9825,70
010023,BAPTIST MEDICAL CENTER SOUTH,AL,South,Hip/Knee Surgery,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.0708,NA
010023,BAPTIST MEDICAL CENTER SOUTH,AL,South,Heart Attack,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.0485,194
010024,JACKSON HOSPITAL & CLINIC INC,AL,South,Pneumonia,2,Non-Profit,58.5,Medium-High Risk,0.5851066528056714,1,1.0422,233
010024,JACKSON HOSPITAL & CLINIC INC,AL,South,Heart Surgery,2,Non-Profit,58.5,Medium-High Risk,0.5851066528056714,0,0.9257,NA
010024,JACKSON HOSPITAL & CLINIC INC,AL,South,Heart Failure,2,Non-Profit,58.5,Medium-High Risk,0.5851066528056714,1,1.0036,325
010024,JACKSON HOSPITAL & CLINIC INC,AL,South,COPD,2,Non-Profit,58.5,Medium-High Risk,0.5851066528056714,0,0.9693,79
010024,JACKSON HOSPITAL & CLINIC INC,AL,South,Heart Attack,2,Non-Profit,58.5,Medium-High Risk,0.5851066528056714,0,0.9784,146
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,South,Pneumonia,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.905,NA
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,South,Heart Failure,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.0648,179
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,South,COPD,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.9654,NA
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,South,Heart Attack,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.0742,66
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,South,Heart Surgery,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.0358,NA
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,South,Hip/Knee Surgery,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.9304,284
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,South,Pneumonia,3,Government,47.5,Medium Risk,0.4751607323719148,1,1.1073,365
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,South,COPD,3,Government,47.5,Medium Risk,0.4751607323719148,0,0.9857,154
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,South,Heart Surgery,3,Government,47.5,Medium Risk,0.4751607323719148,1,1.0866,353
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,South,Heart Attack,3,Government,47.5,Medium Risk,0.4751607323719148,1,1.1,289
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,South,Hip/Knee Surgery,3,Government,47.5,Medium Risk,0.4751607323719148,1,1.125,NA
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,South,Heart Failure,3,Government,47.5,Medium Risk,0.4751607323719148,0,0.9451,675
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,South,Hip/Knee Surgery,3,Government,47.5,Medium Risk,0.4751607323719148,1,1.0057,NA
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,South,Heart Failure,3,Government,47.5,Medium Risk,0.4751607323719148,1,1.018,367
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,South,Heart Attack,3,Government,47.5,Medium Risk,0.4751607323719148,0,0.9979,NA
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,South,Pneumonia,3,Government,47.5,Medium Risk,0.4751607323719148,1,1.0465,417
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,South,COPD,3,Government,47.5,Medium Risk,0.4751607323719148,1,1.0458,120
010036,ANDALUSIA HEALTH,AL,South,Pneumonia,3,For-Profit,56.4,Medium-High Risk,0.5643691017058446,1,1.0138,144
010036,ANDALUSIA HEALTH,AL,South,Hip/Knee Surgery,3,For-Profit,56.4,Medium-High Risk,0.5643691017058446,1,1.2033,NA
010036,ANDALUSIA HEALTH,AL,South,Heart Failure,3,For-Profit,56.4,Medium-High Risk,0.5643691017058446,1,1.0267,159
010036,ANDALUSIA HEALTH,AL,South,COPD,3,For-Profit,56.4,Medium-High Risk,0.5643691017058446,0,0.9661,NA
010039,HUNTSVILLE HOSPITAL,AL,South,Heart Surgery,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.8656,267
010039,HUNTSVILLE HOSPITAL,AL,South,Hip/Knee Surgery,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.2959,168
010039,HUNTSVILLE HOSPITAL,AL,South,Heart Attack,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.9251,624
010039,HUNTSVILLE HOSPITAL,AL,South,COPD,2,Government,56.3,Medium-High Risk,0.5633899571394215,1,1.0004,426
010039,HUNTSVILLE HOSPITAL,AL,South,Pneumonia,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.9728,1340
010039,HUNTSVILLE HOSPITAL,AL,South,Heart Failure,2,Government,56.3,Medium-High Risk,0.5633899571394215,0,0.9752,1270
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,South,Pneumonia,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,0,0.9714,235
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,South,Heart Attack,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,0,0.9817,132
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,South,Heart Failure,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,0,0.9818,235
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,South,Heart Surgery,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,1,1.0777,NA
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,South,COPD,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,0,0.9886,97
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,South,Hip/Knee Surgery,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,1,1.0242,NA
010045,FAYETTE MEDICAL CENTER,AL,South,Heart Failure,4,Non-Profit,41,Medium Risk,0.4097573973219669,0,0.9855,NA
010045,FAYETTE MEDICAL CENTER,AL,South,Pneumonia,4,Non-Profit,41,Medium Risk,0.4097573973219669,0,0.9883,NA
010045,FAYETTE MEDICAL CENTER,AL,South,COPD,4,Non-Profit,41,Medium Risk,0.4097573973219669,1,1.0488,NA
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,South,Heart Failure,3,For-Profit,56.4,Medium-High Risk,0.5643691017058446,1,1.0925,284
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,South,COPD,3,For-Profit,56.4,Medium-High Risk,0.5643691017058446,1,1.048,103
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,South,Heart Attack,3,For-Profit,56.4,Medium-High Risk,0.5643691017058446,0,0.9659,NA
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,South,Pneumonia,3,For-Profit,56.4,Medium-High Risk,0.5643691017058446,1,1.0904,277
010049,MEDICAL CENTER ENTERPRISE,AL,South,Heart Failure,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,1,1.0285,102
010049,MEDICAL CENTER ENTERPRISE,AL,South,Hip/Knee Surgery,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,0,0.89,NA
010049,MEDICAL CENTER ENTERPRISE,AL,South,Pneumonia,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,1,1.0465,152
010049,MEDICAL CENTER ENTERPRISE,AL,South,COPD,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,1,1.0438,59
010055,FLOWERS HOSPITAL,AL,South,Pneumonia,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,1,1.0004,305
010055,FLOWERS HOSPITAL,AL,South,Heart Surgery,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,1,1.1755,84
010055,FLOWERS HOSPITAL,AL,South,Hip/Knee Surgery,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,1,1.2633,NA
010055,FLOWERS HOSPITAL,AL,South,COPD,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,0,0.9486,126
010055,FLOWERS HOSPITAL,AL,South,Heart Failure,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,0,0.9641,325
010055,FLOWERS HOSPITAL,AL,South,Heart Attack,2,For-Profit,64.9,Medium-High Risk,0.6486894857340383,1,1.0867,263
010056,ST VINCENT'S BIRMINGHAM,AL,South,Heart Attack,4,Non-Profit,41,Medium Risk,0.4097573973219669,1,1.0215,150
010056,ST VINCENT'S BIRMINGHAM,AL,South,Pneumonia,4,Non-Profit,41,Medium Risk,0.4097573973219669,1,1.037,405
010056,ST VINCENT'S BIRMINGHAM,AL,South,Heart Surgery,4,Non-Profit,41,Medium Risk,0.4097573973219669,1,1.1313,96
010056,ST VINCENT'S BIRMINGHAM,AL,South,Hip/Knee Surgery,4,Non-Profit,41,Medium Risk,0.4097573973219669,0,0.9213,NA
010056,ST VINCENT'S BIRMINGHAM,AL,South,COPD,4,Non-Profit,41,Medium Risk,0.4097573973219669,0,0.9772,82
010056,ST VINCENT'S BIRMINGHAM,AL,South,Heart Failure,4,Non-Profit,41,Medium Risk,0.4097573973219669,0,0.9489,439
