facility_id,facility_name,state,region,hospital_star_rating,ownership_type,conditions_reported,risk_score,risk_category,actual_penalty_rate,max_condition_risk,min_condition_risk
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,South,3,Government,6,47.5,Medium Risk,16.7,47.5,47.5
010005,MARSHALL MEDICAL CENTERS,AL,South,2,Government,4,56.3,Medium-High Risk,0,56.3,56.3
010006,NORTH ALABAMA MEDICAL CENTER,AL,South,1,For-Profit,6,72.5,High Risk,33.3,72.5,72.5
010007,MIZELL MEMORIAL HOSPITAL,AL,South,1,Non-Profit,4,66.8,Medium-High Risk,75,66.8,66.8
010011,ST. VINCENT'S EAST,AL,South,3,Non-Profit,6,49.7,Medium Risk,66.7,49.7,49.7
010012,DEKALB REGIONAL MEDICAL CENTER,AL,South,2,For-Profit,5,64.9,Medium-High Risk,60,64.9,64.9
010016,SHELBY BAPTIST MEDICAL CENTER,AL,South,3,Non-Profit,6,49.7,Medium Risk,83.3,49.7,49.7
010019,HELEN KELLER HOSPITAL,AL,South,2,Government,4,56.3,Medium-High Risk,50,56.3,56.3
010021,DALE MEDICAL CENTER,AL,South,2,Government,3,56.3,Medium-High Risk,66.7,56.3,56.3
010023,BAPTIST MEDICAL CENTER SOUTH,AL,South,2,Government,6,56.3,Medium-High Risk,83.3,56.3,56.3
010024,JACKSON HOSPITAL & CLINIC INC,AL,South,2,Non-Profit,5,58.5,Medium-High Risk,40,58.5,58.5
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,South,2,Government,6,56.3,Medium-High Risk,50,56.3,56.3
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,South,3,Government,6,47.5,Medium Risk,66.7,47.5,47.5
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,South,3,Government,5,47.5,Medium Risk,80,47.5,47.5
010036,ANDALUSIA HEALTH,AL,South,3,For-Profit,4,56.4,Medium-High Risk,75,56.4,56.4
010039,HUNTSVILLE HOSPITAL,AL,South,2,Government,6,56.3,Medium-High Risk,33.3,56.3,56.3
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,South,2,For-Profit,6,64.9,Medium-High Risk,33.3,64.9,64.9
010045,FAYETTE MEDICAL CENTER,AL,South,4,Non-Profit,3,41,Medium Risk,33.3,41,41
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,South,3,For-Profit,4,56.4,Medium-High Risk,75,56.4,56.4
010049,MEDICAL CENTER ENTERPRISE,AL,South,2,For-Profit,4,64.9,Medium-High Risk,75,64.9,64.9
