facility_id,facility_name.x,state.x,region,hospital_overall_rating_clean,ownership_simple,conditions_reported,avg_risk_score,max_risk_score,min_risk_score,actual_penalties,penalty_rate,hospital_risk_category
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,South,3,Government,6,47.5,47.5,47.5,1,16.7,Medium Risk
010005,MARSHALL MEDICAL CENTERS,AL,South,2,Government,4,56.3,56.3,56.3,0,0,Medium-High Risk
010006,NORTH ALABAMA MEDICAL CENTER,AL,South,1,For-Profit,6,72.5,72.5,72.5,2,33.3,High Risk
010007,MIZELL MEMORIAL HOSPITAL,AL,South,1,Non-Profit,4,66.8,66.8,66.8,3,75,Medium-High Risk
010011,ST. VINCENT'S EAST,AL,South,3,Non-Profit,6,49.7,49.7,49.7,4,66.7,Medium Risk
010012,DEKALB REGIONAL MEDICAL CENTER,AL,South,2,For-Profit,5,64.9,64.9,64.9,3,60,Medium-High Risk
010016,SHELBY BAPTIST MEDICAL CENTER,AL,South,3,Non-Profit,6,49.7,49.7,49.7,5,83.3,Medium Risk
010019,HELEN KELLER HOSPITAL,AL,South,2,Government,4,56.3,56.3,56.3,2,50,Medium-High Risk
010021,DALE MEDICAL CENTER,AL,South,2,Government,3,56.3,56.3,56.3,2,66.7,Medium-High Risk
010023,BAPTIST MEDICAL CENTER SOUTH,AL,South,2,Government,6,56.3,56.3,56.3,5,83.3,Medium-High Risk
010024,JACKSON HOSPITAL & CLINIC INC,AL,South,2,Non-Profit,5,58.5,58.5,58.5,2,40,Medium-High Risk
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,South,2,Government,6,56.3,56.3,56.3,3,50,Medium-High Risk
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,South,3,Government,6,47.5,47.5,47.5,4,66.7,Medium Risk
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,South,3,Government,5,47.5,47.5,47.5,4,80,Medium Risk
010036,ANDALUSIA HEALTH,AL,South,3,For-Profit,4,56.4,56.4,56.4,3,75,Medium-High Risk
010039,HUNTSVILLE HOSPITAL,AL,South,2,Government,6,56.3,56.3,56.3,2,33.3,Medium-High Risk
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,South,2,For-Profit,6,64.9,64.9,64.9,2,33.3,Medium-High Risk
010045,FAYETTE MEDICAL CENTER,AL,South,4,Non-Profit,3,41,41,41,1,33.3,Medium Risk
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,South,3,For-Profit,4,56.4,56.4,56.4,3,75,Medium-High Risk
010049,MEDICAL CENTER ENTERPRISE,AL,South,2,For-Profit,4,64.9,64.9,64.9,3,75,Medium-High Risk
010055,FLOWERS HOSPITAL,AL,South,2,For-Profit,6,64.9,64.9,64.9,4,66.7,Medium-High Risk
010056,ST VINCENT'S BIRMINGHAM,AL,South,4,Non-Profit,6,41,41,41,3,50,Medium Risk
010061,HIGHLANDS MEDICAL CENTER,AL,South,2,Government,3,56.3,56.3,56.3,0,0,Medium-High Risk
010065,RUSSELL MEDICAL CENTER,AL,South,4,Non-Profit,5,41,41,41,2,40,Medium Risk
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,South,2,Government,5,56.3,56.3,56.3,3,60,Medium-High Risk
010079,ATHENS LIMESTONE HOSPITAL,AL,South,2,Government,4,56.3,56.3,56.3,3,75,Medium-High Risk
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,South,5,For-Profit,5,38.9,38.9,38.9,3,60,Medium Risk
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,South,3,Government,5,47.5,47.5,47.5,2,40,Medium Risk
010086,NORTHWEST MEDICAL CENTER,AL,South,3,For-Profit,3,56.4,56.4,56.4,0,0,Medium-High Risk
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,South,3,Government,3,47.5,47.5,47.5,1,33.3,Medium Risk
010089,WALKER BAPTIST MEDICAL CENTER,AL,South,2,For-Profit,3,64.9,64.9,64.9,2,66.7,Medium-High Risk
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,South,3,Non-Profit,6,49.7,49.7,49.7,2,33.3,Medium Risk
010092,DCH REGIONAL MEDICAL CENTER,AL,South,1,Government,6,64.8,64.8,64.8,5,83.3,Medium-High Risk
010100,THOMAS HOSPITAL,AL,South,3,Non-Profit,6,49.7,49.7,49.7,3,50,Medium Risk
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,South,3,Non-Profit,6,49.7,49.7,49.7,2,33.3,Medium Risk
010104,GRANDVIEW MEDICAL CENTER,AL,South,2,For-Profit,6,64.9,64.9,64.9,5,83.3,Medium-High Risk
010108,PRATTVILLE BAPTIST HOSPITAL,AL,South,4,Government,3,38.8,38.8,38.8,1,33.3,Medium Risk
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,South,3,Non-Profit,6,49.7,49.7,49.7,3,50,Medium Risk
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,South,2,Government,3,56.3,56.3,56.3,1,33.3,Medium-High Risk
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,South,3,For-Profit,3,56.4,56.4,56.4,1,33.3,Medium-High Risk
