state.x,n,mean_readmission,median_readmission,sd_readmission
MA,245,1.041,1.038,0.102
NJ,281,1.028,1.025,0.088
IL,502,1.02,1.012,0.078
FL,776,1.019,1.014,0.083
NV,98,1.019,1.009,0.075
WV,95,1.016,1.013,0.073
KY,235,1.011,1.004,0.079
AL,257,1.01,1,0.071
CA,1024,1.01,1.008,0.085
MS,191,1.01,1.01,0.071
GA,354,1.008,1,0.064
NY,537,1.008,1.007,0.081
MI,374,1.007,1.001,0.083
NH,65,1.006,0.994,0.072
SC,210,1.006,0.996,0.077
AR,168,1.005,1.007,0.079
MO,293,1.005,1,0.077
OH,489,1.005,0.999,0.075
TX,913,1.005,1.001,0.076
CT,116,1.003,1.003,0.074
PA,548,1.003,1.001,0.08
LA,231,1.001,0.993,0.069
TN,284,1.001,0.999,0.079
NC,344,1,0.996,0.081
AZ,227,0.999,0.998,0.086
IN,326,0.998,0.996,0.074
OK,227,0.996,0.991,0.083
VA,305,0.995,0.991,0.074
NM,80,0.993,0.993,0.068
MD,197,0.987,0.978,0.082
MN,172,0.979,0.979,0.069
WI,249,0.977,0.977,0.068
CO,189,0.974,0.971,0.064
IA,132,0.968,0.962,0.067
NE,98,0.968,0.975,0.066
WA,209,0.965,0.967,0.075
OR,134,0.962,0.965,0.065
KS,159,0.961,0.968,0.094
ME,58,0.959,0.979,0.074
MT,54,0.957,0.953,0.078
UT,101,0.956,0.953,0.091
SD,50,0.943,0.962,0.096
ID,55,0.938,0.951,0.078
