facility_name.x,state.x,avg_risk_score,penalty_rate,hospital_overall_rating_clean,ownership_simple
MORTON HOSPITAL,MA,78.2,80,1,For-Profit
GEORGE WASHINGTON UNIV HOSPITAL,DC,74.7,33.3,1,For-Profit
CAREWELL HEALTH MEDICAL CENTER,NJ,74.7,66.7,1,For-Profit
HUDSON REGIONAL HOSPITAL,NJ,74.7,75,1,For-Profit
OLEAN GENERAL HOSPITAL,NY,74.7,80,1,For-Profit
WILKES-BARRE GENERAL HOSPITAL,PA,74.7,66.7,1,For-Profit
NORTHERN LIGHT MAINE COAST HOSPITAL,ME,73.2,50,1,Non-Profit
BAYSTATE MEDICAL CENTER,MA,73.2,83.3,1,Non-Profit
ALLIANCEHEALTH DURANT,OK,73.1,100,1,For-Profit
UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,TX,73.1,83.3,1,For-Profit
