facility_name.x,state.x,avg_risk_score,penalty_rate,hospital_overall_rating_clean,ownership_simple
UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,CO,19.7,0,5,Government
MADISON MEMORIAL HOSPITAL,ID,19.7,0,5,Government
UNIVERSITY OF UTAH HOSPITAL AND CLINICS,UT,19.7,16.7,5,Government
ST JOHNS MEDICAL CENTER,WY,19.7,0,5,Government
MAYO CLINIC HOSPITAL,AZ,21.2,50,5,Non-Profit
HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,AZ,21.2,80,5,Non-Profit
POUDRE VALLEY HOSPITAL,CO,21.2,0,5,Non-Profit
MERCY REGIONAL MEDICAL CENTER,CO,21.2,0,5,Non-Profit
CENTURA HEALTH-ST ANTHONY HOSPITAL,CO,21.2,0,5,Non-Profit
SAINT JOSEPH HOSPITAL,CO,21.2,40,5,Non-Profit
