term,estimate,std.error,statistic,p.value,odds_ratio,ci_lower,ci_upper,significance
(Intercept),1.4352965388973353,0.08458692603648481,16.968302386095104,1.4094804103525305e-64,4.200890551554842,3.5590945188202,4.958418871098901,***
hospital_overall_rating_clean,-0.35437051162985944,0.017826987249380626,-19.8783174449273,6.27014927592142e-88,0.7016149626876327,0.6775232519209741,0.7265633385591697,***
hospital_ownership_cleanGovernment,-0.35835207991142304,0.07312026090344222,-4.900858879382817,9.541858110109792e-7,0.698826988743756,0.6055199362381753,0.8065121079755406,***
hospital_ownership_cleanNon-Profit,-0.26951101284687157,0.055241880509445423,-4.878744357748461,1.0676333524469552e-6,0.7637528683826617,0.6853777734526811,0.8510904008809618,***
hospital_ownership_cleanPhysician,0.25727314885349195,0.2909968101272341,0.8841098592833475,0.3766369114670171,1.2933983687948736,0.7311909769352949,2.2878829104441714,
hospital_ownership_cleanTribal,-0.5679066667410089,0.8226852871260831,-0.6903085245694598,0.4900001882186683,0.5667105118529421,0.11299973227638527,2.8421377447080896,
regionMidwest,-0.17846509083566908,0.06534240710583411,-2.7312292084160883,0.006309857086889227,0.8365532597428816,0.7359918683416768,0.9508547396906241,**
regionMountain West,-0.7093258709337765,0.09427423184139036,-7.524069484089422,5.309710344568607e-14,0.49197574084367335,0.40897413467484267,0.5918225849933436,***
regionNortheast,0.1957216627332971,0.10319582221495834,1.8966045187915277,0.0578801537571671,1.2161883476794069,0.9934792044567047,1.4888224035248285,
regionPacific,-0.1460201393287563,0.07635961351928972,-1.9122692297528348,0.05584167041063615,0.8641402998038078,0.7440217714864665,1.0036513531762932,
regionSouth,-0.1132718521769004,0.06504768799446052,-1.7413663063097133,0.08161939033670558,0.8929078881652998,0.7860260688351095,1.0143232245838754,
regionSouth Central,-0.08289986185661341,0.08529427791045908,-0.9719275886670932,0.331086573613637,0.9204433140899037,0.7787410929571403,1.087930124806491,
